Date,Actual,GRU_Pred
2025-07-01,12308.77734375,12305.668
2025-07-02,12486.849609375,12240.04
2025-07-03,12615.4580078125,12265.304
2025-07-04,12510.5927734375,12343.602
2025-07-07,12385.9423828125,12369.705
2025-07-08,12281.0771484375,12332.079
2025-07-09,12336.4775390625,12260.375
2025-07-10,12514.5498046875,12226.596
2025-07-11,12439.3642578125,12272.671
2025-07-14,12380.0068359375,12295.974
2025-07-15,12401.7705078125,12284.075
2025-07-16,12429.470703125,12275.282
2025-07-17,12342.4130859375,12280.397
2025-07-18,12286.0234375,12259.08
2025-07-21,12272.173828125,12220.705
2025-07-22,12358.2421875,12188.3545
2025-07-23,12491.796875,12197.612
2025-07-24,12422.5458984375,12256.289
2025-07-25,12271.1845703125,12281.997
2025-07-28,12207.869140625,12240.303
2025-07-29,12335.48828125,12177.793
2025-07-30,12482.892578125,12176.247
2025-07-31,12473.0,12238.13
2025-08-01,12302.0,12287.916
2025-08-04,12365.0,12259.7705
2025-08-05,12537.0,12243.595
2025-08-06,12524.0,12293.429
2025-08-07,12632.0,12336.605
2025-08-08,12590.0,12395.024
2025-08-11,12597.0,12421.88
2025-08-12,12840.0,12433.319
2025-08-13,12834.0,12514.648
2025-08-14,12936.0,12580.591
2025-08-18,14068.0,12648.699
2025-08-19,14250.0,13038.211
2025-08-20,14221.0,13398.773
2025-08-21,14280.0,13593.312
2025-08-22,14349.0,13690.927
2025-08-25,14452.0,13753.898
2025-08-26,14714.0,13817.796
2025-08-28,14752.0,13932.2295
2025-08-29,14791.0,14021.286
2025-09-01,14887.0,14078.64
2025-09-02,14842.0,14133.324
2025-09-03,14927.0,14153.646
2025-09-04,14662.0,14182.868
2025-09-05,14895.0,14129.118
2025-09-08,15258.0,14146.39
2025-09-09,15365.0,14272.71
2025-09-10,15108.0,14394.848
2025-09-11,15095.0,14392.209
2025-09-12,15325.0,14362.231
2025-09-15,15265.0,14405.345
2025-09-16,15573.0,14429.833
2025-09-17,15801.0,14521.529
2025-09-18,15817.0,14646.787
2025-09-19,15864.0,14727.053
2025-09-22,15816.0,14775.266
2025-09-23,16097.0,14785.388
2025-09-24,16249.0,14857.66
2025-09-25,16269.0,14949.571
2025-09-26,16286.0,15008.77
2025-09-29,15984.0,15039.73
2025-09-30,16029.0,14977.082
2025-10-01,15965.0,14937.3
2025-10-03,15806.0,14905.509
2025-10-06,15998.0,14848.436
2025-10-07,16108.0,14860.855
2025-10-08,16012.0,14909.354
2025-10-09,15985.0,14917.187
2025-10-10,16265.0,14905.734
2025-10-13,16323.0,14967.63
2025-10-14,16261.0,15030.714
2025-10-15,16212.0,15049.038
2025-10-16,16298.0,15038.403
2025-10-17,16401.0,15049.918
2025-10-20,16424.0,15087.135
2025-10-21,16396.0,15117.955
2025-10-23,16393.0,15126.372
2025-10-24,16274.0,15126.347
2025-10-27,16388.0,15095.807
2025-10-28,16311.0,15102.138
2025-10-29,16138.0,15093.898
2025-10-30,16206.0,15042.524
2025-10-31,16186.0,15023.091
2025-11-03,15651.0,15013.976
2025-11-04,15374.0,14872.774
2025-11-06,15452.0,14693.114
2025-11-07,15479.0,14606.525
2025-11-10,15583.0,14583.573
2025-11-11,15645.0,14608.173
2025-11-12,15696.0,14645.188
2025-11-13,15749.0,14680.144
2025-11-14,15684.0,14712.633
2025-11-17,15878.0,14713.251
2025-11-18,15930.0,14758.349
2025-11-19,15768.0,14806.411
2025-11-20,15801.0,14791.35
2025-11-21,15977.0,14779.276
2025-11-24,15958.0,14820.312
2025-11-25,15889.0,14848.871
2025-11-26,16156.0,14843.723
2025-11-27,15903.0,14903.198
2025-11-28,15900.0,14884.79
2025-12-01,16097.0,14857.915
2025-12-02,16239.0,14893.362
2025-12-03,16082.0,14961.633
2025-12-04,15994.0,14964.825
2025-12-05,16282.0,14931.111
2025-12-08,16187.0,14980.029
2025-12-09,16020.0,14999.823
2025-12-10,16019.0,14961.662
2025-12-11,16248.0,14929.451
2025-12-12,16522.0,14972.451
2025-12-15,16415.0,15078.932
2025-12-16,16354.0,15121.166
2025-12-17,16398.0,15116.073
2025-12-18,16329.0,15116.797
2025-12-19,16414.0,15102.767
2025-12-22,16649.0,15113.832
2025-12-23,16585.0,15182.942
2025-12-24,16703.0,15215.407
2025-12-26,16596.0,15254.144
2025-12-29,16542.0,15251.197
2025-12-30,16647.0,15229.186
