Date,Actual,LSTM_Pred
2025-07-01,12308.77734375,12661.916
2025-07-02,12486.849609375,12615.909
2025-07-03,12615.4580078125,12585.41
2025-07-04,12510.5927734375,12578.475
2025-07-07,12385.9423828125,12576.738
2025-07-08,12281.0771484375,12568.506
2025-07-09,12336.4775390625,12548.718
2025-07-10,12514.5498046875,12529.988
2025-07-11,12439.3642578125,12530.251
2025-07-14,12380.0068359375,12533.916
2025-07-15,12401.7705078125,12534.831
2025-07-16,12429.470703125,12536.74
2025-07-17,12342.4130859375,12541.521
2025-07-18,12286.0234375,12539.084
2025-07-21,12272.173828125,12527.744
2025-07-22,12358.2421875,12510.978
2025-07-23,12491.796875,12500.636
2025-07-24,12422.5458984375,12507.328
2025-07-25,12271.1845703125,12516.518
2025-07-28,12207.869140625,12512.909
2025-07-29,12335.48828125,12497.012
2025-07-30,12482.892578125,12487.4795
2025-07-31,12473.0,12495.66
2025-08-01,12302.0,12512.068
2025-08-04,12365.0,12516.131
2025-08-05,12537.0,12519.658
2025-08-06,12524.0,12538.071
2025-08-07,12632.0,12561.049
2025-08-08,12590.0,12594.94
2025-08-11,12597.0,12627.158
2025-08-12,12840.0,12655.887
2025-08-13,12834.0,12701.876
2025-08-14,12936.0,12750.523
2025-08-18,14068.0,12804.931
2025-08-19,14250.0,12960.144
2025-08-20,14221.0,13163.833
2025-08-21,14280.0,13367.786
2025-08-22,14349.0,13551.071
2025-08-25,14452.0,13702.326
2025-08-26,14714.0,13820.561
2025-08-28,14752.0,13921.296
2025-08-29,14791.0,13994.692
2025-09-01,14887.0,14041.074
2025-09-02,14842.0,14068.74
2025-09-03,14927.0,14072.866
2025-09-04,14662.0,14066.48
2025-09-05,14895.0,14028.792
2025-09-08,15258.0,13996.885
2025-09-09,15365.0,13997.235
2025-09-10,15108.0,14020.165
2025-09-11,15095.0,14031.916
2025-09-12,15325.0,14038.527
2025-09-15,15265.0,14060.266
2025-09-16,15573.0,14080.307
2025-09-17,15801.0,14122.3125
2025-09-18,15817.0,14185.811
2025-09-19,15864.0,14251.385
2025-09-22,15816.0,14312.321
2025-09-23,16097.0,14356.873
2025-09-24,16249.0,14406.413
2025-09-25,16269.0,14457.609
2025-09-26,16286.0,14499.632
2025-09-29,15984.0,14529.044
2025-09-30,16029.0,14521.296
2025-10-01,15965.0,14497.531
2025-10-03,15806.0,14458.964
2025-10-06,15998.0,14402.683
2025-10-07,16108.0,14358.552
2025-10-08,16012.0,14332.477
2025-10-09,15985.0,14311.8955
2025-10-10,16265.0,14297.926
2025-10-13,16323.0,14313.766
2025-10-14,16261.0,14347.473
2025-10-15,16212.0,14383.26
2025-10-16,16298.0,14413.923
2025-10-17,16401.0,14445.317
2025-10-20,16424.0,14479.326
2025-10-21,16396.0,14509.769
2025-10-23,16393.0,14530.466
2025-10-24,16274.0,14541.469
2025-10-27,16388.0,14534.738
2025-10-28,16311.0,14527.054
2025-10-29,16138.0,14510.705
2025-10-30,16206.0,14478.001
2025-10-31,16186.0,14446.718
2025-11-03,15651.0,14417.351
2025-11-04,15374.0,14351.819
2025-11-06,15452.0,14259.722
2025-11-07,15479.0,14173.809
2025-11-10,15583.0,14104.26
2025-11-11,15645.0,14063.53
2025-11-12,15696.0,14052.424
2025-11-13,15749.0,14067.983
2025-11-14,15684.0,14105.158
2025-11-17,15878.0,14148.147
2025-11-18,15930.0,14207.5205
2025-11-19,15768.0,14271.487
2025-11-20,15801.0,14316.515
2025-11-21,15977.0,14348.649
2025-11-24,15958.0,14380.695
2025-11-25,15889.0,14402.45
2025-11-26,16156.0,14408.044
2025-11-27,15903.0,14422.826
2025-11-28,15900.0,14415.777
2025-12-01,16097.0,14398.302
2025-12-02,16239.0,14390.761
2025-12-03,16082.0,14397.045
2025-12-04,15994.0,14395.864
2025-12-05,16282.0,14385.707
2025-12-08,16187.0,14395.045
2025-12-09,16020.0,14403.137
2025-12-10,16019.0,14397.883
2025-12-11,16248.0,14387.808
2025-12-12,16522.0,14393.784
2025-12-15,16415.0,14426.056
2025-12-16,16354.0,14457.43
2025-12-17,16398.0,14481.166
2025-12-18,16329.0,14501.38
2025-12-19,16414.0,14510.276
2025-12-22,16649.0,14517.675
2025-12-23,16585.0,14538.545
2025-12-24,16703.0,14555.11
2025-12-26,16596.0,14575.709
2025-12-29,16542.0,14585.31
2025-12-30,16647.0,14583.618
