Date,Actual,Prophet_Pred
2025-07-01,12308.77734375,12401.35606026785
2025-07-02,12486.849609375,12420.39260993244
2025-07-03,12615.4580078125,12432.631129669031
2025-07-04,12510.5927734375,12440.08225927472
2025-07-07,12385.9423828125,12464.215439585247
2025-07-08,12281.0771484375,12480.558814639073
2025-07-09,12336.4775390625,12500.606162480206
2025-07-10,12514.5498046875,12512.901714656678
2025-07-11,12439.3642578125,12519.42366930759
2025-07-14,12380.0068359375,12534.81060027768
2025-07-15,12401.7705078125,12546.330539654298
2025-07-16,12429.470703125,12560.682499396362
2025-07-17,12342.4130859375,12566.482830002193
2025-07-18,12286.0234375,12565.794608414017
2025-07-21,12272.173828125,12556.256469637528
2025-07-22,12358.2421875,12558.734334918892
2025-07-23,12491.796875,12563.86779063988
2025-07-24,12422.5458984375,12560.387608416806
2025-07-25,12271.1845703125,12550.468463644313
2025-07-28,12207.869140625,12514.571872013135
2025-07-29,12335.48828125,12509.017678232256
2025-07-30,12482.892578125,12506.629041951615
2025-07-31,12473.0,12496.202112035731
2025-08-01,12302.0,12479.967010798557
2025-08-04,12365.0,12429.316739740618
2025-08-05,12537.0,12420.334151772717
2025-08-06,12524.0,12415.287472446737
2025-08-07,12632.0,12402.977882636937
2025-08-08,12590.0,12385.634899212699
2025-08-11,12597.0,12336.236976616983
2025-08-12,12840.0,12329.155938910331
2025-08-13,12834.0,12326.72576284392
2025-08-14,12936.0,12317.728268534074
2025-08-18,14068.0,12270.736805632081
2025-08-19,14250.0,12270.084631306141
2025-08-20,14221.0,12274.616062438463
2025-08-21,14280.0,12273.074283060905
2025-08-22,14349.0,12267.624164252666
2025-08-25,14452.0,12259.895062696143
2025-08-26,14714.0,12268.404121167625
2025-08-28,14752.0,12290.073283249772
2025-08-29,14791.0,12293.976114199384
2025-09-01,14887.0,12313.26272820808
2025-09-02,14842.0,12330.105561178212
2025-09-03,14927.0,12351.77715849177
2025-09-04,14662.0,12366.84381294206
2025-09-05,14895.0,12377.291487345006
2025-09-08,15258.0,12411.229382216547
2025-09-09,15365.0,12431.060911539
2025-09-10,15108.0,12454.685437118134
2025-09-11,15095.0,12470.636746943663
2025-09-12,15325.0,12480.883587631686
2025-09-15,15265.0,12507.777070262682
2025-09-16,15573.0,12523.219064748315
2025-09-17,15801.0,12541.526177590527
2025-09-18,15817.0,12551.309947239255
2025-09-19,15864.0,12554.62961874643
2025-09-22,15816.0,12557.238844728505
2025-09-23,16097.0,12563.80398339406
2025-09-24,16249.0,12573.043842950665
2025-09-25,16269.0,12573.689427791458
2025-09-26,16286.0,12567.915037709708
2025-09-29,15984.0,12544.538333309954
2025-09-30,16029.0,12543.162279646145
2025-10-01,15965.0,12544.931865116812
2025-10-03,15806.0,12526.432420969273
2025-10-06,15998.0,12487.089406585965
2025-10-07,16108.0,12481.418364422156
2025-10-08,16012.0,12479.340954487809
2025-10-09,15985.0,12469.576468835792
2025-10-10,16265.0,12454.264027445894
2025-10-13,16323.0,12406.860809872709
2025-10-14,16261.0,12398.717844854611
2025-10-15,16212.0,12394.176148331859
2025-10-16,16298.0,12381.907317580357
2025-10-17,16401.0,12364.01405541797
2025-10-20,16424.0,12308.248751839183
2025-10-21,16396.0,12297.133061365355
2025-10-23,16393.0,12274.297456118878
2025-10-24,16274.0,12253.467819793956
2025-10-27,16388.0,12190.124422500783
2025-10-28,16311.0,12177.19106344655
2025-10-29,16138.0,12168.323732517449
2025-10-30,16206.0,12152.334082825166
2025-10-31,16186.0,12131.470324191596
2025-11-03,15651.0,12072.717742868615
2025-11-04,15374.0,12063.004304487744
2025-11-06,15452.0,12047.131555479542
2025-11-07,15479.0,12031.954331942967
2025-11-10,15583.0,11994.0665972465
2025-11-11,15645.0,11992.173868592337
2025-11-12,15696.0,11995.38675300636
2025-11-13,15749.0,11992.316728813246
2025-11-14,15684.0,11984.977461455795
2025-11-17,15878.0,11967.66457708299
2025-11-18,15930.0,11971.035127897474
2025-11-19,15768.0,11978.431673709301
2025-11-20,15801.0,11978.32225568471
2025-11-21,15977.0,11972.600867453522
2025-11-24,15958.0,11951.32705010617
2025-11-25,15889.0,11950.353773017392
2025-11-26,16156.0,11951.942735423816
2025-11-27,15903.0,11944.646885963888
2025-11-28,15900.0,11930.481902591877
2025-12-01,16097.0,11878.05971617923
2025-12-02,16239.0,11865.486166475595
2025-12-03,16082.0,11855.284903450322
2025-12-04,15994.0,11836.283710811875
2025-12-05,16282.0,11810.78031750053
2025-12-08,16187.0,11729.334782684165
2025-12-09,16020.0,11709.624075416035
2025-12-10,16019.0,11693.940013932912
2025-12-11,16248.0,11671.298773713163
2025-12-12,16522.0,11644.150581569287
2025-12-15,16415.0,11570.649155866695
2025-12-16,16354.0,11557.958379963215
2025-12-17,16398.0,11551.404505902081
2025-12-18,16329.0,11539.890191975172
2025-12-19,16414.0,11525.709558938046
2025-12-22,16649.0,11500.034401122995
2025-12-23,16585.0,11505.40242271069
2025-12-24,16703.0,11517.482506993656
2025-12-26,16596.0,11529.546632465424
2025-12-29,16542.0,11557.215415990086
2025-12-30,16647.0,11578.389166527113
