Date,Actual,Transformer_Pred
2025-07-01,12308.77734375,12543.261
2025-07-02,12486.849609375,12529.275
2025-07-03,12615.4580078125,12576.43
2025-07-04,12510.5927734375,12624.038
2025-07-07,12385.9423828125,12593.263
2025-07-08,12281.0771484375,12544.352
2025-07-09,12336.4775390625,12485.701
2025-07-10,12514.5498046875,12484.855
2025-07-11,12439.3642578125,12546.844
2025-07-14,12380.0068359375,12523.026
2025-07-15,12401.7705078125,12499.82
2025-07-16,12429.470703125,12500.9795
2025-07-17,12342.4130859375,12504.876
2025-07-18,12286.0234375,12468.787
2025-07-21,12272.173828125,12442.474
2025-07-22,12358.2421875,12429.441
2025-07-23,12491.796875,12460.283
2025-07-24,12422.5458984375,12517.833
2025-07-25,12271.1845703125,12503.158
2025-07-28,12207.869140625,12444.285
2025-07-29,12335.48828125,12403.974
2025-07-30,12482.892578125,12443.261
2025-07-31,12473.0,12507.816
2025-08-01,12302.0,12522.644
2025-08-04,12365.0,12465.053
2025-08-05,12537.0,12484.586
2025-08-06,12524.0,12548.762
2025-08-07,12632.0,12552.934
2025-08-08,12590.0,12606.535
2025-08-11,12597.0,12605.664
2025-08-12,12840.0,12618.586
2025-08-13,12834.0,12718.368
2025-08-14,12936.0,12737.807
2025-08-18,14068.0,12793.647
2025-08-19,14250.0,13158.411
2025-08-20,14221.0,13268.25
2025-08-21,14280.0,13320.631
2025-08-22,14349.0,13375.05
2025-08-25,14452.0,13419.693
2025-08-26,14714.0,13467.246
2025-08-28,14752.0,13546.02
2025-08-29,14791.0,13582.098
2025-09-01,14887.0,13613.14
2025-09-02,14842.0,13646.651
2025-09-03,14927.0,13651.387
2025-09-04,14662.0,13674.839
2025-09-05,14895.0,13640.285
2025-09-08,15258.0,13685.61
2025-09-09,15365.0,13753.59
2025-09-10,15108.0,13783.515
2025-09-11,15095.0,13755.769
2025-09-12,15325.0,13757.605
2025-09-15,15265.0,13795.103
2025-09-16,15573.0,13793.746
2025-09-17,15801.0,13845.353
2025-09-18,15817.0,13886.161
2025-09-19,15864.0,13898.756
2025-09-22,15816.0,13913.095
2025-09-23,16097.0,13915.289
2025-09-24,16249.0,13954.468
2025-09-25,16269.0,13981.795
2025-09-26,16286.0,13995.198
2025-09-29,15984.0,14006.389
2025-09-30,16029.0,13982.013
2025-10-01,15965.0,13987.37
2025-10-03,15806.0,13982.72
2025-10-06,15998.0,13968.71
2025-10-07,16108.0,13989.769
2025-10-08,16012.0,14003.459
2025-10-09,15985.0,13996.531
2025-10-10,16265.0,13994.667
2025-10-13,16323.0,14023.906
2025-10-14,16261.0,14035.342
2025-10-15,16212.0,14036.454
2025-10-16,16298.0,14036.945
2025-10-17,16401.0,14047.736
2025-10-20,16424.0,14059.33
2025-10-21,16396.0,14063.648
2025-10-23,16393.0,14063.778
2025-10-24,16274.0,14066.947
2025-10-27,16388.0,14058.69
2025-10-28,16311.0,14067.726
2025-10-29,16138.0,14058.113
2025-10-30,16206.0,14038.876
2025-10-31,16186.0,14041.666
2025-11-03,15651.0,14037.36
2025-11-04,15374.0,13980.668
2025-11-06,15452.0,13935.83
2025-11-07,15479.0,13929.08
2025-11-10,15583.0,13920.403
2025-11-11,15645.0,13925.261
2025-11-12,15696.0,13930.066
2025-11-13,15749.0,13935.31
2025-11-14,15684.0,13938.451
2025-11-17,15878.0,13928.88
2025-11-18,15930.0,13951.187
2025-11-19,15768.0,13958.686
2025-11-20,15801.0,13942.002
2025-11-21,15977.0,13943.494
2025-11-24,15958.0,13961.079
2025-11-25,15889.0,13960.125
2025-11-26,16156.0,13953.227
2025-11-27,15903.0,13983.103
2025-11-28,15900.0,13958.751
2025-12-01,16097.0,13957.262
2025-12-02,16239.0,13978.61
2025-12-03,16082.0,13995.796
2025-12-04,15994.0,13983.529
2025-12-05,16282.0,13975.062
2025-12-08,16187.0,14005.202
2025-12-09,16020.0,13998.952
2025-12-10,16019.0,13982.728
2025-12-11,16248.0,13980.161
2025-12-12,16522.0,14001.857
2025-12-15,16415.0,14032.479
2025-12-16,16354.0,14029.912
2025-12-17,16398.0,14028.727
2025-12-18,16329.0,14034.503
2025-12-19,16414.0,14028.528
2025-12-22,16649.0,14037.401
2025-12-23,16585.0,14062.588
2025-12-24,16703.0,14063.259
2025-12-26,16596.0,14079.87
2025-12-29,16542.0,14075.609
2025-12-30,16647.0,14073.657
