Ticker,Model,RMSE,MAPE,DirAcc,WhiteNoise
HDFCBANK.NS,ARIMA,7.174,0.5705,51.61,True
ICICIBANK.NS,ARIMA,11.4938,0.6216,50.0,True
TCS.NS,ARIMA,33.7357,0.8188,50.0,True
INFY.NS,ARIMA,20.3404,1.0108,48.39,True
SUNPHARMA.NS,ARIMA,17.4825,0.7598,50.81,True
DRREDDY.NS,ARIMA,14.4257,0.8408,54.84,True
HINDUNILVR.NS,ARIMA,28.9713,0.8162,44.35,True
ITC.NS,ARIMA,2.8986,0.5843,54.03,True
MARUTI.NS,ARIMA,176.5586,0.8191,50.81,True
HDFCBANK.NS,Prophet,42.4561,3.7386,55.65,
ICICIBANK.NS,Prophet,142.7044,9.1855,53.23,
TCS.NS,Prophet,208.1663,5.6356,50.0,
INFY.NS,Prophet,148.3633,9.0308,58.87,
SUNPHARMA.NS,Prophet,170.9353,9.0984,58.87,
DRREDDY.NS,Prophet,41.3736,2.7135,50.0,
HINDUNILVR.NS,Prophet,101.0175,3.3184,54.84,
ITC.NS,Prophet,17.4774,3.6753,50.81,
MARUTI.NS,Prophet,3228.6469,17.3603,53.23,
HDFCBANK.NS,LSTM,9.5923,0.7705,41.94,
ICICIBANK.NS,LSTM,27.4482,1.6461,46.77,
TCS.NS,LSTM,50.4717,1.3226,52.42,
INFY.NS,LSTM,26.8342,1.398,52.42,
SUNPHARMA.NS,LSTM,46.2111,2.2581,47.58,
DRREDDY.NS,LSTM,26.9157,1.7277,43.55,
HINDUNILVR.NS,LSTM,45.0987,1.4015,47.58,
ITC.NS,LSTM,5.3376,1.0819,48.39,
MARUTI.NS,LSTM,1271.8134,6.9111,48.39,
HDFCBANK.NS,GRU,12.7284,1.1,52.42,
ICICIBANK.NS,GRU,22.2101,1.2661,53.23,
TCS.NS,GRU,48.1969,1.301,51.61,
INFY.NS,GRU,24.009,1.1983,53.23,
SUNPHARMA.NS,GRU,27.1576,1.1964,49.19,
DRREDDY.NS,GRU,18.1226,1.1104,49.19,
HINDUNILVR.NS,GRU,38.0604,1.126,48.39,
ITC.NS,GRU,7.9644,1.756,45.16,
MARUTI.NS,GRU,937.1504,5.139,41.94,
HDFCBANK.NS,Transformer,11.8813,0.9441,54.84,
ICICIBANK.NS,Transformer,16.4979,0.9329,52.42,
TCS.NS,Transformer,46.2492,1.1808,50.0,
INFY.NS,Transformer,23.7585,1.2175,53.23,
SUNPHARMA.NS,Transformer,30.4516,1.406,49.19,
DRREDDY.NS,Transformer,18.2372,1.1198,48.39,
HINDUNILVR.NS,Transformer,36.9669,1.1044,47.58,
ITC.NS,Transformer,4.1693,0.8646,50.81,
MARUTI.NS,Transformer,1592.2183,8.5759,51.61,
